date,TOTAL_MWh,NG_MWh
2020-07-09,1365101.0,626052.0
2020-07-10,1361704.0,677090.0
2020-07-11,1351199.0,700006.0
2020-07-12,1315258.0,685486.0
2020-07-13,1418960.0,707701.0
2020-07-14,1402851.0,662985.0
2020-07-15,1382548.0,664284.0
2020-07-16,1391461.0,741595.0
2020-07-17,1346851.0,691035.0
2020-07-18,1257384.0,625223.0
2020-07-19,1261763.0,664564.0
2020-07-20,1305868.0,718964.0
2020-07-21,1261802.0,732566.0
2020-07-22,1297097.0,774395.0
2020-07-23,1337473.0,783681.0
2020-07-24,1331045.0,754129.0
2020-07-25,1181357.0,621069.0
2020-07-26,1142973.0,603024.0
2020-07-27,1227882.0,696482.0
2020-07-28,1182318.0,675544.0
2020-07-29,1197523.0,626413.0
2020-07-30,1308389.0,651103.0
2020-07-31,1250872.0,723442.0
2020-08-01,1134200.0,714203.0
2020-08-02,1162016.0,702247.0
2020-08-03,1232459.0,755011.0
2020-08-04,1265297.0,703592.0
2020-08-05,1280461.0,644037.0
2020-08-06,1330282.0,614782.0
2020-08-07,1355271.0,606206.0
2020-08-08,1306969.0,590764.0
2020-08-09,1306571.0,564561.0
2020-08-10,1384116.0,628761.0
2020-08-11,1412368.0,689617.0
2020-08-12,1427512.0,741228.0
2020-08-13,1430594.0,743909.0
2020-08-14,1423388.0,776652.0
2020-08-15,1389776.0,813866.0
2020-08-16,1356994.0,791552.0
2020-08-17,1266636.0,762158.0
2020-08-18,1291389.0,803125.0
2020-08-19,1252997.0,710527.0
2020-08-20,1252772.0,648383.0
2020-08-21,1263798.0,662327.0
2020-08-22,1189247.0,606113.0
2020-08-23,1202614.0,662947.0
2020-08-24,1271289.0,706487.0
2020-08-25,1286328.0,760857.0
2020-08-26,1273268.0,708311.0
2020-08-27,1283356.0,721749.0
2020-08-28,1398627.0,719719.0
2020-08-29,1367278.0,736090.0
2020-08-30,1312330.0,676011.0
2020-08-31,1424158.0,727314.0
2020-09-01,1361462.0,650666.0
2020-09-02,1241240.0,671102.0
2020-09-03,1219912.0,656773.0
2020-09-04,1177560.0,646093.0
2020-09-05,1110460.0,598456.0
2020-09-06,1131436.0,557342.0
2020-09-07,1197424.0,509137.0
2020-09-08,1208298.0,448040.0
2020-09-09,1135892.0,412869.0
2020-09-10,974557.0,463721.0
2020-09-11,1010378.0,551981.0
2020-09-12,1085728.0,615791.0
2020-09-13,1120482.0,655410.0
2020-09-14,1166674.0,663523.0
2020-09-15,1190049.0,699814.0
2020-09-16,1185024.0,700933.0
2020-09-17,1152338.0,633544.0
2020-09-18,1099955.0,582671.0
2020-09-19,994854.0,507442.0
2020-09-20,924339.0,425970.0
2020-09-21,958677.0,457463.0
2020-09-22,972886.0,515203.0
2020-09-23,976755.0,552689.0
2020-09-24,974158.0,547583.0
2020-09-25,1024888.0,449369.0
2020-09-26,1050435.0,367100.0
2020-09-27,1139159.0,427742.0
2020-09-28,990770.0,369430.0
2020-09-29,914662.0,481132.0
2020-09-30,954484.0,474634.0
2020-10-01,969978.0,442775.0
2020-10-02,940385.0,376374.0
2020-10-03,927364.0,332751.0
2020-10-04,939280.0,461654.0
2020-10-05,995287.0,402178.0
2020-10-06,1038581.0,535156.0
2020-10-07,1057836.0,553760.0
2020-10-08,1075088.0,505735.0
2020-10-09,1093706.0,554863.0
2020-10-10,1063590.0,590463.0
2020-10-11,1131224.0,542460.0
2020-10-12,1118027.0,591946.0
2020-10-13,1031817.0,543119.0
2020-10-14,1093006.0,459859.0
2020-10-15,1083169.0,407973.0
2020-10-16,893845.0,357585.0
2020-10-17,888372.0,273033.0
2020-10-18,1025636.0,415151.0
2020-10-19,1043807.0,597083.0
2020-10-20,1097230.0,489964.0
2020-10-21,1114077.0,440668.0
2020-10-22,1111041.0,423539.0
2020-10-23,1007815.0,397874.0
2020-10-24,827103.0,342838.0
2020-10-25,879521.0,264698.0
2020-10-26,988121.0,415255.0
2020-10-27,1000827.0,602209.0
2020-10-28,988165.0,488590.0
2020-10-29,956436.0,390565.0
2020-10-30,896584.0,475159.0
2020-10-31,847383.0,339665.0
2020-11-01,850329.0,345859.0
2020-11-02,870468.0,351103.0
2020-11-03,883414.0,268396.0
2020-11-04,889770.0,255218.0
2020-11-05,889157.0,420701.0
2020-11-06,882233.0,436186.0
2020-11-07,872358.0,255622.0
2020-11-08,886809.0,227330.0
2020-11-09,984476.0,306322.0
2020-11-10,964935.0,438972.0
2020-11-11,937302.0,482221.0
2020-11-12,940613.0,424981.0
2020-11-13,935155.0,451112.0
2020-11-14,963292.0,313664.0
2020-11-15,854506.0,304344.0
2020-11-16,891795.0,342562.0
2020-11-17,892890.0,339132.0
2020-11-18,902722.0,238411.0
2020-11-19,915888.0,257941.0
2020-11-20,918792.0,369267.0
2020-11-21,879040.0,407410.0
2020-11-22,870064.0,363948.0
2020-11-23,894116.0,306992.0
2020-11-24,940673.0,192943.0
2020-11-25,910084.0,352176.0
2020-11-26,870904.0,266967.0
2020-11-27,872679.0,240989.0
2020-11-28,866835.0,380415.0
2020-11-29,890042.0,296859.0
2020-11-30,1034884.0,445028.0
2020-12-01,1074899.0,322537.0
2020-12-02,983366.0,244430.0
2020-12-03,1052162.0,401301.0
2020-12-04,1035998.0,593083.0
2020-12-05,995012.0,542759.0
2020-12-06,919400.0,419310.0
2020-12-07,975331.0,553552.0
2020-12-08,957862.0,517552.0
2020-12-09,943820.0,366255.0
2020-12-10,924701.0,218721.0
2020-12-11,891785.0,327234.0
2020-12-12,895210.0,320674.0
2020-12-13,978618.0,272508.0
2020-12-14,1088901.0,451160.0
2020-12-15,1098487.0,380473.0
2020-12-16,1105126.0,569748.0
2020-12-17,1100419.0,501627.0
2020-12-18,1020284.0,267777.0
2020-12-19,883908.0,331660.0
2020-12-20,918236.0,394348.0
2020-12-21,958358.0,401635.0
2020-12-22,932205.0,195044.0
2020-12-23,918540.0,175520.0
2020-12-24,1024822.0,307387.0
2020-12-25,949349.0,358603.0
2020-12-26,917286.0,174230.0
2020-12-27,852549.0,192950.0
2020-12-28,902731.0,214471.0
2020-12-29,890564.0,166000.0
2020-12-30,948249.0,226610.0
2020-12-31,1083286.0,438814.0
2021-01-01,1058787.0,499334.0
2021-01-02,992503.0,445974.0
2021-01-03,946993.0,352074.0
2021-01-04,950550.0,408013.0
2021-01-05,940062.0,313298.0
2021-01-06,929745.0,180916.0
2021-01-07,998811.0,376463.0
2021-01-08,1047237.0,498701.0
2021-01-09,1061565.0,507793.0
2021-01-10,1146516.0,560290.0
2021-01-11,1199508.0,685771.0
2021-01-12,1175318.0,618566.0
2021-01-13,1090445.0,361090.0
2021-01-14,1012997.0,248667.0
2021-01-15,1054689.0,317908.0
2021-01-16,1006611.0,445693.0
2021-01-17,941595.0,400179.0
2021-01-18,974630.0,205312.0
2021-01-19,934310.0,222431.0
2021-01-20,979019.0,450845.0
2021-01-21,945067.0,398401.0
2021-01-22,922238.0,438671.0
2021-01-23,895342.0,335249.0
2021-01-24,882566.0,247165.0
2021-01-25,915473.0,225160.0
2021-01-26,939816.0,413399.0
2021-01-27,966888.0,391169.0
2021-01-28,1052965.0,434312.0
2021-01-29,993073.0,252530.0
2021-01-30,876837.0,148656.0
2021-01-31,885734.0,235618.0
2021-02-01,979589.0,453759.0
2021-02-02,968733.0,315873.0
2021-02-03,931566.0,220544.0
2021-02-04,899032.0,215743.0
2021-02-05,954790.0,370172.0
2021-02-06,922601.0,238731.0
2021-02-07,941130.0,178512.0
2021-02-08,949471.0,307208.0
2021-02-09,1044704.0,535116.0
2021-02-10,1148896.0,667561.0
2021-02-11,1316349.0,814267.0
2021-02-12,1407236.0,885601.0
2021-02-13,1380718.0,889900.0
2021-02-14,1469673.0,899328.0
2021-02-15,1160801.0,759708.0
2021-02-16,1065116.0,692091.0
2021-02-17,1074624.0,719414.0
2021-02-18,1227142.0,757320.0
2021-02-19,1157027.0,637380.0
2021-02-20,1007875.0,427406.0
2021-02-21,830646.0,292076.0
2021-02-22,837607.0,331779.0
2021-02-23,842670.0,239507.0
2021-02-24,821870.0,229433.0
2021-02-25,882593.0,297966.0
2021-02-26,896506.0,365206.0
2021-02-27,850912.0,238173.0
2021-02-28,843233.0,214284.0
2021-03-01,909474.0,339562.0
2021-03-02,902852.0,391176.0
2021-03-03,901679.0,308773.0
2021-03-04,866865.0,188226.0
2021-03-05,850459.0,197319.0
